pdb,top1_rmsd,top5_rmsd
6hzd,7.76491,6.49262
6n97,2.33639,2.2568
6p8z,0.668831,0.668831
6hza,0.696271,0.696271
6npi,18.4443,17.1571
6qlp,1.47064,1.47064
6g5u,2.11871,0.892259
6jt3,0.413968,0.413968
6o9b,4.28488,2.6796
6k1s,3.64971,0.647423
6qr2,23.5945,23.2038
6gj5,0.682061,0.682061
6oxr,1.34709,1.23314
6npp,19.6085,19.5225
6h14,inf,0.888238
6qmt,0.288497,0.288497
6ckl,31.5571,30.3332
6bqd,0.704714,0.704714
6jbe,0.223825,0.223825
6pka,0.979402,0.979402
6qlo,3.88827,1.57279
6rot,0.806525,0.806525
6mj4,1.53811,1.53811
6i74,1.86488,1.86488
6n8x,1.7192,1.68277
6dql,38.2334,33.3223
6n0m,25.5598,24.5523
6iql,32.4283,28.9507
6d08,3.62257,2.56768
6e5s,1.59888,1.42212
6os5,5.63467,1.06749
6qr1,0.994292,0.994292
6nxz,7.34687,6.6135
6hop,0.659565,0.659565
6n4e,27.334,26.9159
6oxq,1.47073,0.803596
5zk9,15.6675,7.01173
6h13,2.85367,2.85367
6pnn,3.52623,3.52623
6hle,0.40531,0.40531
6uvy,0.340537,0.340537
6oir,19.6109,18.7664
6op9,2.63125,1.27239
6uwp,0.350179,0.350179
6e6w,3.04846,2.67509
6qln,1.31279,1.31279
6e13,32.8683,30.081
6oxx,1.64414,1.33721
6d07,3.75773,3.50463
6a73,3.9666,1.61669
6j06,1.00838,1.00838
6h12,4.27672,3.12089
6gj7,0.607679,0.607679
6qmr,0.768341,0.768341
6hlb,7.13191,7.06794
6hor,0.299282,0.299282
6pnm,3.08867,2.71987
6hld,7.31538,7.31538
6qlu,1.16705,1.16705
6m7h,12.0058,10.3404
6qrd,26.7289,25.4812
5zjz,15.5491,5.79449
6oiq,inf,18.6934
5ze6,3.24564,3.04267
6a87,24.5361,23.7085
6qls,4.14547,0.964044
6o5g,5.53641,1.21271
6e6v,4.04031,2.00661
5zr3,0.565741,0.565741
6rnu,4.76101,2.26945
6o0h,16.8397,14.2641
6np4,8.70686,3.66103
6i63,0.510016,0.495914
6qr7,0.217496,0.217496
6oxu,0.549191,0.549191
6ahs,4.40173,2.49812
6j9w,0.269671,0.269671
6mo8,1.84792,0.828427
6hhi,0.804097,0.804097
6qqw,0.177952,0.177952
6hzc,0.593776,0.593776
6cjr,0.834848,0.834848
6s56,3.59733,1.67517
6qlr,1.76178,1.76178
6qtm,14.0468,12.6923
6i77,2.01919,1.49858
6e3m,6.46218,4.5151
6k3l,0.628641,0.628641
6qra,2.22182,0.213988
6e7m,7.31337,2.56183
6gdy,4.65981,1.54223
6np3,8.0568,0.862628
6nri,1.75628,0.852456
6i62,0.774184,0.540602
6ny0,4.78145,3.94065
6st3,3.6295,0.809831
6mo7,3.28414,0.703808
6hhh,3.47203,0.96833
6qqv,0.0991663,0.0991663
6hzb,0.993071,0.993071
6quv,9.38755,7.91752
6s55,1.94958,1.94958
6eeb,1.13016,1.13016
6i76,2.10458,1.35919
6qw8,6.2296,2.62589
6ooz,5.04697,2.75169
6qtq,7.64882,6.17763
6n9l,34.354,31.8686
6jib,0.639909,0.639909
6o9c,3.5389,2.03624
6np2,3.59481,0.851097
6nrh,2.55348,0.540628
6i61,0.435462,0.435462
6nt2,19.5805,18.1835
6hou,0.754798,0.754798
6agt,0.15397,0.15397
6oxw,1.51799,1.51799
6dz3,35.407,35.407
6qqu,0.127921,0.127921
6cjp,0.478933,0.478933
6g2o,4.09601,1.98515
6qrg,1.3928,1.3928
6s07,18.5887,17.7416
6i75,2.06343,0.64054
6uvp,1.56509,1.56509
6rpg,2.4069,1.8548
6op0,8.32279,7.79318
6npm,18.2923,16.8976
6oxz,1.41939,1.41939
6os6,6.51128,1.43646
6nrg,1.4791,1.4791
6hot,0.49353,0.49353
6n53,7.16371,2.66805
6dz2,6.1408,1.89293
6pno,3.90427,3.73819
6qqt,24.851,23.6263
6i7a,4.99655,2.96864
6om4,11.3694,8.27031
6i78,0.953262,0.902623
6mo2,14.0379,12.2185
6qrf,0.875552,0.844414
6uhu,1.84985,1.00742
6md6,4.805,4.805
6izq,4.09984,3.27923
6ueg,23.1635,22.9938
6i67,0.812039,0.812039
6qr9,2.25663,0.43574
5zxk,1.34103,1.34103
6qto,3.55746,2.74651
6cf7,75.4894,74.824
6gj6,0.509569,0.509569
6rr0,12.9859,1.93682
6oxy,0.933547,0.933547
6sfc,2.24416,0.890053
6moa,1.63144,0.673049
6nrf,0.677244,0.677244
6e4v,8.006,8.006
6pyb,2.04659,2.03109
5zcu,1.04964,1.04964
6nv9,0.647912,0.647912
6od6,0.368224,0.368224
6hoq,0.626239,0.626239
6d3z,1.00497,1.00497
6n92,54.3201,54.0245
6jag,0.376161,0.376161
6qre,21.326,21.0778
6o3y,12.3266,7.6444
6kqi,0.814483,0.814483
6e4c,4.49634,2.97148
6jwa,1.54949,1.54949
6miy,1.67913,1.67913
6g2b,0.404359,0.404359
6nv7,0.831827,0.831827
6i66,2.05635,1.01391
6k05,1.68368,1.68368
6pgo,0.566525,0.566525
6qgf,2.47494,2.47494
6efk,1.14891,1.14891
6g25,0.327611,0.327611
6qqz,23.2617,23.2617
6pya,0.306545,0.306545
6qwi,39.7579,39.7579
6jan,0.601666,0.601666
6qqq,4.49345,1.31323
6dz0,0.476986,0.476986
6i5p,2.24228,2.24228
6d3y,1.55749,1.55749
6e3p,7.55825,5.47168
6s9x,4.91435,1.64054
6o3x,1.62677,1.51741
6ten,0.138856,0.138856
6t6a,0.467824,0.467824
6i65,0.673339,0.673339
6mjj,1.91635,1.91141
6d3x,1.01257,1.01257
6jsz,0.447297,0.447297
6k04,0.646437,0.646437
6qge,5.84644,2.57518
6j9y,0.273007,0.273007
6g24,14.8741,14.453
6nlj,20.4116,15.9596
6jam,0.169442,0.169442
6jsg,0.3048,0.3048
6s9w,1.58906,1.31892
6oy1,0.723907,0.723907
6qlt,1.58365,1.58365
6np5,8.50547,0.755995
6i64,0.781437,0.613283
6mji,2.155,1.53565
6ibz,0.80375,0.80375
6oie,14.0055,9.18512
6hhr,1.50919,1.50919
6e6j,0.409502,0.409502
6jon,0.98497,0.98497
6mo9,37.0707,36.3838
6cyg,1.09072,1.09072
6e3o,3.22653,1.97695
6cjs,2.44156,0.87845
6q4q,28.1126,24.4156
6s57,1.56559,1.56559
6jsf,0.443247,0.443247
6qts,3.34229,1.95459
6oy0,0.791598,0.791598
6miv,1.97618,1.92455
6jid,0.385889,0.385889
6tel,0.284896,0.284896
6nrj,2.55079,0.668906
6qrc,0.255222,0.255222
6iby,0.193874,0.193874
6a1c,0.55087,0.55087
6ffg,0.392519,0.392519
6n96,16.5809,10.6818
6p8y,3.77048,0.707168
6ufo,0.603483,0.603483
6nsv,4.54587,1.85615
6quw,0.357112,0.357112
6i41,12.5407,1.43324
6jse,0.450743,0.450743
5zjy,3.90104,3.42601
6h9v,12.4582,12.4582
6g3c,0.443123,0.30319
6fe5,0.806007,0.806007
6g2f,4.9473,4.75627
6qtr,4.94783,4.94783
6ggb,0.68865,0.68865
6jb0,0.38418,0.314165
6ibx,0.315902,0.315902
6g29,0.338024,0.338024
6hhp,35.6858,32.2124
6e3n,4.70425,2.32671
6qsz,9.02018,8.73549
6fff,0.845209,0.845209
6gwe,2.22054,1.03425
6n55,5.94929,5.52604
6qfe,2.82108,1.18982
6d40,6.95738,6.95738
6uwv,1.59747,1.59747
6kjf,1.18306,1.18306
6gbw,1.90601,1.90601
6p8x,0.791427,0.791427
6ufn,0.842516,0.842516
6sen,29.6372,29.3258
6ovz,6.79262,2.19031
6hbn,0.359803,0.359803
6hv2,3.71328,2.6617
6fcj,4.80145,0.525918
6qzh,51.9891,51.7177
6olx,1.97003,1.28645
6g2e,0.761586,0.756831
6hmt,35.6014,34.7781
6uii,2.55908,1.44297
6gga,0.838534,0.838534
6ooy,5.90418,3.85758
6k2n,22.1605,19.1348
6i9a,9.09309,6.54563
6qr0,0.228709,0.228709
6ffe,3.27423,1.0286
6oxp,1.75289,1.06695
6jaq,0.142261,0.142261
6n94,2.84141,2.14717
6mhd,6.11992,4.81913
6qtx,3.25683,2.7092
6jut,1.29969,1.29969
6oxv,0.670092,0.670092
6uhv,2.12527,1.46846
6i68,3.81923,2.46407
6gzy,23.9881,23.9881
6ftf,0.110759,0.110759
6g27,0.515014,0.515014
5zk7,11.7783,6.65239
6e3z,0.388888,0.388888
6jap,0.348366,0.348366
6kjd,7.33075,1.6739
6n93,4.66083,4.66083
6g9f,2.33789,1.89815
6jbb,0.338789,0.338789
6mhc,3.97916,2.3139
6qtw,3.12825,2.11405
6oip,19.7219,19.3451
6rtn,2.23149,1.93025
6ic0,0.320006,0.320006
6g2c,0.259414,0.259414
6i8m,0.363778,0.363778
6pgp,0.370775,0.370775
6n4b,1.58966,1.33329
6q38,28.9638,27.3494
5zml,15.6316,7.08279
6jao,0.484661,0.484661
6r4k,7.93595,4.78572
6nw3,0.374882,0.374882
6uvv,2.16594,0.697136
6mhb,3.02331,1.15774
6hmy,24.0074,22.8722
6i8t,0.333375,0.333375
6oio,16.9981,15.4818
6a6k,0.594369,0.594369
6mja,1.35901,1.35901
6ggf,0.790619,0.790619
6jb4,0.376413,0.376413
5zk5,17.5357,8.07863
6mo0,15.4745,14.9081
6c85,6.05075,3.58309
6dyz,0.621347,0.621347
6cjj,1.87566,1.87566
6nd3,1.78866,1.19739
6oin,16.6592,16.6592
5zlf,2.09205,0.840624
6hhj,1.71208,0.697645
6uim,2.28145,1.35132
6gge,1.2264,1.2264
6oy2,1.1393,1.1393
6jmf,1.41064,0.588452
6qi7,3.64009,1.41925
6rz6,1.91034,1.91034
6qr4,0.417519,0.417519
6ott,29.2089,27.7869
6d5w,3.55428,0.743341
6oxt,1.02338,1.02338
6oi8,0.119406,0.119406
6cyh,0.988829,0.988829
6te6,0.724383,0.724383
6v5l,6.48985,4.3299
6h7d,0.577026,0.577026
6qlq,0.502582,0.502582
6py0,9.27944,9.27944
6mjq,1.59605,1.59605
6oim,8.84841,4.13007
6uil,1.12764,1.1164
6qxd,7.63375,7.6324
6ggd,0.817984,0.71419
6r7d,3.58718,1.51905
6qr3,23.9212,23.9212
6oxs,0.722279,0.722279
6inz,0.472746,0.472746
6jsn,0.42379,0.42379
6hhg,2.06266,1.16298
6pz4,0.366857,0.366857
6o5u,8.56863,2.6027
6qxa,49.9679,49.9679
6jad,0.334987,0.334987
